Date,Open,High,Low,Close,Volume,Symbol,Name
2024-01-19,14706.596676454961,14837.511503918802,14637.111942386,14737.311723152401,1871626,^IXIC,NASDAQ
2024-01-22,14514.846759702454,14751.758157904625,14409.242576179553,14580.50036704209,1505188,^IXIC,NASDAQ
2024-01-23,14660.67712985358,14897.523807409863,14497.215768838349,14697.369788124106,1860524,^IXIC,NASDAQ
2024-01-24,14427.894427512385,14591.553354327103,14293.312522152148,14442.432938239626,1895307,^IXIC,NASDAQ
2024-01-25,14470.080330848205,14558.579551467317,14296.609105362748,14427.594328415033,1238970,^IXIC,NASDAQ
2024-01-26,14373.826055783924,14517.146820807648,14146.087470474453,14331.61714564105,1854356,^IXIC,NASDAQ
2024-01-29,14642.454594863371,14762.982220804219,14533.867980339657,14648.425100571938,1026220,^IXIC,NASDAQ
2024-01-30,14742.592254202176,14825.917406822118,14658.16473874396,14742.04107278304,1044000,^IXIC,NASDAQ
2024-01-31,14879.481170652823,15056.555570459966,14740.359304969537,14898.457437714753,1825667,^IXIC,NASDAQ
2024-02-01,15025.068198226869,15068.849492532456,14713.713820472085,14891.281656502271,714470,^IXIC,NASDAQ
2024-02-02,15139.085882365307,15474.580236366817,15135.854521869933,15305.217379118376,1782110,^IXIC,NASDAQ
2024-02-05,15608.448130137282,15624.426553625904,15280.145263232207,15452.285908429056,1981148,^IXIC,NASDAQ
2024-02-06,15474.70548374129,15696.810783892748,15361.704992755813,15529.25788832428,586999,^IXIC,NASDAQ
2024-02-07,15481.257985774657,15695.103427307917,15366.327922826282,15530.715675067098,1446564,^IXIC,NASDAQ
2024-02-08,15417.919038476042,15604.103440118652,15417.919038476042,15511.011239297346,840362,^IXIC,NASDAQ
2024-02-09,15511.601082387077,15629.729584047025,15429.952216312156,15529.84090017959,1660814,^IXIC,NASDAQ
2024-02-12,15603.544876589625,15838.210058476663,15413.773237333817,15625.991647905239,1262860,^IXIC,NASDAQ
2024-02-13,15582.005795935404,15676.514065879031,15441.298796801095,15558.906431340063,1459760,^IXIC,NASDAQ
2024-02-14,15401.34594299992,15635.20126991031,15284.901368941295,15460.051319425804,869082,^IXIC,NASDAQ
2024-02-15,15574.58414716321,15646.68771982213,15360.500347646333,15503.594033734233,1683658,^IXIC,NASDAQ
2024-02-16,15494.317613796591,15654.778552177973,15419.96013173064,15537.369341954307,1301259,^IXIC,NASDAQ
2024-02-19,15752.33460588493,15827.401408318812,15666.212100784724,15746.806754551768,507825,^IXIC,NASDAQ
2024-02-20,15823.983132878662,15823.983132878662,15646.35485884805,15735.168995863356,757431,^IXIC,NASDAQ
2024-02-21,15805.048179963733,16049.621932250397,15641.850795599841,15845.736363925118,1850643,^IXIC,NASDAQ
2024-02-22,15592.556114910198,15829.829441409758,15424.238027250076,15627.033734329916,1978905,^IXIC,NASDAQ
2024-02-23,15925.598292437486,15999.544802625673,15628.98018811358,15814.262495369627,657316,^IXIC,NASDAQ
2024-02-26,15739.88853750299,15890.329912967716,15460.471841634891,15675.400877301303,1969543,^IXIC,NASDAQ
2024-02-27,15497.543644140593,15591.224333751341,15384.702798126978,15487.963565939159,1814640,^IXIC,NASDAQ
2024-02-28,15516.203649511592,15667.65559297594,15366.274214064937,15516.964903520438,1031582,^IXIC,NASDAQ
2024-02-29,15383.664679359712,15543.536505553024,15243.30779843703,15393.422151995028,741593,^IXIC,NASDAQ
2024-03-01,15298.867518890625,15465.887181897844,15057.291148861663,15261.589165379753,1743323,^IXIC,NASDAQ
2024-03-04,15422.979480184802,15459.58347216427,15023.730101406589,15241.656786785428,952007,^IXIC,NASDAQ
2024-03-05,15504.632264394433,15680.659337233532,15232.561552577597,15456.610444905566,1693454,^IXIC,NASDAQ
2024-03-06,15482.958280962384,15594.42424838604,15386.622503206823,15490.52337579643,1388117,^IXIC,NASDAQ
2024-03-07,15390.967603497984,15634.200111367287,15264.92155843139,15449.560834899337,1865668,^IXIC,NASDAQ
2024-03-08,15553.260983900951,15797.402728423513,15438.065702351074,15617.734215387294,1260543,^IXIC,NASDAQ
2024-03-11,15579.192721943185,15737.014419651166,15407.019784483766,15572.017102067466,797360,^IXIC,NASDAQ
2024-03-12,15649.143171398355,15889.327289244025,15459.38800881048,15674.357649027252,1939121,^IXIC,NASDAQ
2024-03-13,15599.849427815696,15851.142537173533,15433.458604329086,15642.30057075131,805557,^IXIC,NASDAQ
2024-03-14,15824.447262444297,15928.599579109692,15551.974944588805,15740.28726184925,767347,^IXIC,NASDAQ
2024-03-15,15718.983165704803,15802.40977484896,15607.552556580771,15704.981165714866,1794445,^IXIC,NASDAQ
2024-03-18,15687.162821662389,15994.075803369054,15539.755816959649,15766.915810164352,1850240,^IXIC,NASDAQ
2024-03-19,15550.192962859928,15830.191749453115,15541.948571527459,15686.070160490288,1280854,^IXIC,NASDAQ
2024-03-20,15533.662121491714,15746.012958587722,15293.57404728859,15519.793502938155,859209,^IXIC,NASDAQ
