Date,Open,High,Low,Close,Volume,Symbol,Name
2024-01-19,656782.283989146,664089.6867090052,649474.8812692869,656782.283989146,1475271,051910.KS,LG화학
2024-01-22,654886.4251875144,663387.7151287792,647201.253392807,655294.4842607931,3603564,051910.KS,LG화학
2024-01-23,658523.0316138356,680660.8999271856,647560.4321401144,664110.6660336499,2563107,051910.KS,LG화학
2024-01-24,673912.8286211027,695431.0290053616,673912.8286211027,684671.9288132321,4877698,051910.KS,LG화학
2024-01-25,685148.8210548634,691674.9671045254,671940.8327423538,681807.8999234396,5044590,051910.KS,LG화학
2024-01-26,686747.7286078325,686747.7286078325,671164.4220624907,678956.0753351616,3349319,051910.KS,LG화학
2024-01-29,694407.4949251205,721331.8536142089,680147.8985448851,700739.876079547,3886487,051910.KS,LG화학
2024-01-30,703586.4684489679,725435.4071840082,698255.9695313957,711845.6883577019,3633849,051910.KS,LG화학
2024-01-31,711056.0241569114,720817.804614643,690217.6850922314,705517.7448534372,3561857,051910.KS,LG화학
2024-02-01,712405.778985385,724619.8556102468,702432.5813774152,713526.218493831,1760753,051910.KS,LG화학
2024-02-02,720894.0931087725,720901.6630724401,693637.8731762911,707269.7681243656,1385265,051910.KS,LG화학
2024-02-05,694467.2564993198,721707.5326958477,680363.4103283578,701035.4715121028,5085146,051910.KS,LG화학
2024-02-06,687889.7003114372,721667.2435896975,687889.7003114372,704778.4719505674,4573596,051910.KS,LG화학
2024-02-07,694230.8819234517,694230.8819234517,662093.2913599085,678162.0866416801,1854667,051910.KS,LG화학
2024-02-08,673591.8186924305,673591.8186924305,636619.561614272,655105.6901533513,3002653,051910.KS,LG화학
2024-02-09,664779.364832681,666636.1426620124,629496.0329385225,648066.0878002674,4800964,051910.KS,LG화학
2024-02-12,642189.6302171624,642189.6302171624,628335.3514008729,635262.4908090177,4484458,051910.KS,LG화학
2024-02-13,633469.6454542667,658597.1374968294,620548.2883413975,639572.7129191135,1647960,051910.KS,LG화학
2024-02-14,641753.1582733804,642025.9061710145,614529.1955250527,628277.5508480336,4643664,051910.KS,LG화학
2024-02-15,627195.5518079945,627195.5518079945,594495.0790177787,610845.3154128867,3106811,051910.KS,LG화학
2024-02-16,617546.9699243971,640565.893598245,617546.9699243971,629056.431761321,4872668,051910.KS,LG화학
2024-02-19,628707.4000624894,642981.888218096,610078.990377894,626530.4392979951,5050797,051910.KS,LG화학
2024-02-20,636030.1025969554,646478.3497873163,608901.3982778972,627689.8740326067,4967065,051910.KS,LG화학
2024-02-21,626586.5945220948,626586.5945220948,593648.8430358509,610117.7187789729,2174540,051910.KS,LG화학
2024-02-22,601767.7079865944,615258.4179860415,592301.6354494839,603780.0267177627,3723788,051910.KS,LG화학
2024-02-23,607013.2193111024,618960.1483190021,591882.5989103861,605421.3736146941,2451789,051910.KS,LG화학
2024-02-26,599049.2746272568,599049.2746272568,584525.4494691581,591787.3620482074,4394532,051910.KS,LG화학
2024-02-27,603903.6101141676,608701.0835986866,584358.7614279173,596529.922513302,4570218,051910.KS,LG화학
2024-02-28,602067.6026441823,602067.6026441823,577256.8142587047,589662.2084514435,2782979,051910.KS,LG화학
2024-02-29,590641.5674015668,593954.2384402702,579079.8094432846,586517.0239417774,1138492,051910.KS,LG화학
2024-03-01,594305.4271906194,594305.4271906194,565198.6908572422,579752.0590239308,1996506,051910.KS,LG화학
2024-03-04,593863.383956822,609174.96980423,593863.383956822,601519.176880526,1148706,051910.KS,LG화학
2024-03-05,591422.3109801832,611892.8083771679,591422.3109801832,601657.5596786756,2897137,051910.KS,LG화학
2024-03-06,605778.263750452,605778.263750452,572683.322112135,589230.7929312935,2641402,051910.KS,LG화학
2024-03-07,587066.7531667926,611370.8151199322,587066.7531667926,599218.7841433624,3717790,051910.KS,LG화학
2024-03-08,600823.9304234722,600823.9304234722,568950.7587448049,584887.3445841385,5327368,051910.KS,LG화학
2024-03-11,584801.2593520395,595227.7272085247,580018.3162428415,587623.0217256831,2062405,051910.KS,LG화학
2024-03-12,575721.9327015668,575721.9327015668,554049.8425803339,564885.8876409504,5603371,051910.KS,LG화학
2024-03-13,561084.8916603602,561084.8916603602,539240.8273018089,550162.8594810845,2177480,051910.KS,LG화학
2024-03-14,546239.5675066973,558968.5439328223,546239.5675066973,552604.0557197598,1602470,051910.KS,LG화학
2024-03-15,553994.7490427911,568089.1515372066,553994.7490427911,561041.9502899989,2572623,051910.KS,LG화학
2024-03-18,563778.0019426717,578980.0591746983,547510.6751434561,563245.3671590772,2904054,051910.KS,LG화학
2024-03-19,560729.4432045467,575352.8074961018,549095.6378182085,562224.2226571551,1172779,051910.KS,LG화학
2024-03-20,559549.8831186359,566599.8727607703,551639.2851285216,559119.5789446459,2119239,051910.KS,LG화학
2024-03-21,550216.2426528689,550216.2426528689,535515.2111067824,542865.7268798256,2567234,051910.KS,LG화학
2024-03-22,541825.9608230753,546064.6032267413,524578.5662825727,535321.584754657,3897047,051910.KS,LG화학
2024-03-25,536381.2480858157,536381.2480858157,524933.6479334678,530657.4480096417,1381926,051910.KS,LG화학
2024-03-26,537049.9337436017,557035.670374063,527248.6744052143,542142.1723896386,4816714,051910.KS,LG화학
2024-03-27,546757.7228944756,552267.5743939973,540010.5111968477,546139.0427954225,4006593,051910.KS,LG화학
2024-03-28,534371.7820321294,534371.7820321294,519937.8400871232,527154.8110596263,1995792,051910.KS,LG화학
2024-03-29,539670.2134813374,540076.7822368991,521593.6916395637,530835.2369382314,2597241,051910.KS,LG화학
2024-04-01,529185.8030519262,537157.703333452,516866.99603732844,527012.3496853902,4039045,051910.KS,LG화학
2024-04-02,525723.9487952599,525723.9487952599,514557.91276780673,520140.93078153336,4874511,051910.KS,LG화학
2024-04-03,516105.85039714957,537422.4670652859,516105.85039714957,526764.1587312177,3342801,051910.KS,LG화학
2024-04-04,534790.9246633773,544421.2406651297,531357.5848008316,537889.4127329807,2004121,051910.KS,LG화학
2024-04-05,539743.2448071847,556610.4987259624,539743.2448071847,548176.8717665735,2846315,051910.KS,LG화학
2024-04-08,542359.2754640593,544859.1370801808,533641.1978602578,539250.1674702193,2349715,051910.KS,LG화학
2024-04-09,535721.4581054244,542831.0784249706,529538.7936644729,536184.9360447217,4573949,051910.KS,LG화학
2024-04-10,541843.4618736143,551816.3143054869,528194.4811912442,540005.3977483655,3024235,051910.KS,LG화학
2024-04-11,544345.7455042896,557277.0407659172,544345.7455042896,550811.3931351034,3274870,051910.KS,LG화학
2024-04-12,548385.0438375485,557672.2400898809,533943.9723933804,545808.1062416306,1531612,051910.KS,LG화학
2024-04-15,552582.6602614735,552582.6602614735,535525.9933496438,544054.3268055586,2590178,051910.KS,LG화학
2024-04-16,533642.3370746739,544487.3925211013,520089.0622366497,532288.2273788755,4983712,051910.KS,LG화학
2024-04-17,531315.911158826,531315.911158826,508323.763685873,519819.8374223495,2139105,051910.KS,LG화학
2024-04-18,522165.921399845,534888.2549182131,522165.921399845,528527.088159029,1748335,051910.KS,LG화학
2024-04-19,535669.6743406854,550585.4127913419,535669.6743406854,543127.5435660136,2359329,051910.KS,LG화학
2024-04-22,535309.2159569224,549924.571500838,535309.2159569224,542616.8937288802,5294876,051910.KS,LG화학
2024-04-23,547000.1958936581,560557.5646101877,547000.1958936581,553778.8802519229,2697392,051910.KS,LG화학
2024-04-24,555093.1325724102,574462.1832085259,541660.0118959572,558061.0975522415,2064199,051910.KS,LG화학
2024-04-25,558534.8603943456,558534.8603943456,543744.746275387,551139.8033348663,3840996,051910.KS,LG화학
2024-04-26,562401.3558632024,571276.4421458711,539521.484445036,555398.9632954536,2199100,051910.KS,LG화학
2024-04-29,564394.2724161595,587303.4654874611,558218.8166477695,572761.1410676152,1825922,051910.KS,LG화학
2024-04-30,574363.4824564741,582070.5125971622,563203.7401575139,572637.1263773381,1987399,051910.KS,LG화학
2024-05-01,583577.4663545308,598108.3454013175,583577.4663545308,590842.9058779241,4071120,051910.KS,LG화학
2024-05-02,569016.6908697529,569016.6908697529,551345.6513935792,560181.171131666,3284019,051910.KS,LG화학
2024-05-03,561681.0151320217,581434.2429698362,557904.852762906,569669.5478663711,1258806,051910.KS,LG화학
2024-05-06,566240.315615005,580499.2636528742,561393.0241879879,570946.143920431,3818907,051910.KS,LG화학
2024-05-07,575286.7682293644,582128.8581059347,553505.6921287538,567817.2751173442,3514311,051910.KS,LG화학
2024-05-08,558083.9302290624,580202.5714445452,558083.9302290624,569143.2508368038,5006847,051910.KS,LG화학
2024-05-09,561355.3432789166,561355.3432789166,532251.8443128027,546803.5937958596,5286245,051910.KS,LG화학
2024-05-10,547731.6796226301,551475.425447713,537873.8706287832,544674.6480382481,1753814,051910.KS,LG화학
2024-05-13,545161.5540527222,555055.4730214344,542618.9042710278,548837.1886462311,4044671,051910.KS,LG화학
2024-05-14,553185.3462975333,577482.7966888928,553185.3462975333,565334.0714932131,4573595,051910.KS,LG화학
2024-05-15,565977.0228811223,567611.6358581973,551902.0086945094,559756.8222763534,1709177,051910.KS,LG화학
2024-05-16,558305.5210035061,558305.5210035061,543665.487972027,550985.5044877665,3286987,051910.KS,LG화학
2024-05-17,555105.6018620423,555105.6018620423,536357.95830639,545731.7800842162,4775010,051910.KS,LG화학
2024-05-20,546072.0096306287,565919.8434053444,546072.0096306287,555995.9265179866,2668496,051910.KS,LG화학
2024-05-21,563229.7250482321,570710.2683770445,549148.9516978087,559929.6100374266,2244279,051910.KS,LG화학
2024-05-22,551081.3115304097,568107.4302031947,540446.5825093507,554277.0063562727,4678294,051910.KS,LG화학
2024-05-23,554365.9867645501,570147.8865049602,550340.0966653912,560243.9915851757,3275181,051910.KS,LG화학
2024-05-24,555286.8634339925,577409.684104733,545814.0276068058,561611.8558557694,4921961,051910.KS,LG화학
2024-05-27,563223.3519981471,585691.1199977004,559854.304001637,572772.7119996687,2458626,051910.KS,LG화학
2024-05-28,572240.7499859757,572240.7499859757,557792.7725434459,565016.7612647108,3308152,051910.KS,LG화학
2024-05-29,572064.3681945596,577252.6836303722,545940.4714659255,561596.5775481488,4382443,051910.KS,LG화학
2024-05-30,555467.3662046209,564739.0700838281,550207.417716908,557473.243900368,4018856,051910.KS,LG화학
2024-05-31,547212.0301187694,547212.0301187694,535657.1139005914,541434.5720096803,3483907,051910.KS,LG화학
2024-06-03,539552.9421260576,558670.4592338155,531153.3095765886,544911.8844052021,4412708,051910.KS,LG화학
2024-06-04,549429.9596357082,554722.2654312172,541336.5000754903,548029.3827533538,4419349,051910.KS,LG화학
2024-06-05,555082.3837039289,555241.2306135118,541477.6572554494,548359.4439344805,1657793,051910.KS,LG화학
2024-06-06,545921.2318925608,554025.1751698579,538096.5493425666,546060.8622562123,3891994,051910.KS,LG화학
2024-06-07,543830.0914992354,543830.0914992354,517922.5511627948,530876.3213310151,3561839,051910.KS,LG화학
2024-06-10,534594.630267566,534594.630267566,518756.46305440454,526675.5466609852,2510161,051910.KS,LG화학
2024-06-11,527574.0246152666,530462.8929586007,516194.90169641515,523328.8973275079,2666250,051910.KS,LG화학
2024-06-12,525105.8462543766,525105.8462543766,505281.08215185965,515193.4642031182,5129685,051910.KS,LG화학
2024-06-13,516123.5473009706,520502.8918615275,507075.49622812483,513789.1940448262,3492571,051910.KS,LG화학
2024-06-14,523567.7014334253,523567.7014334253,512828.35441330646,518198.0279233659,4722725,051910.KS,LG화학
2024-06-17,527433.1646489875,553415.2329954242,522595.7334513971,538005.4832234107,4972028,051910.KS,LG화학
2024-06-18,541181.1930400392,553194.8328684607,527111.0918836914,540152.962376076,1619333,051910.KS,LG화학
2024-06-19,532907.1066175706,554898.2833469425,531512.4586279864,543205.3709874644,4174529,051910.KS,LG화학
2024-06-20,553454.7226338247,558235.8921447733,527100.4783494525,542668.1852471129,4977208,051910.KS,LG화학
2024-06-21,532043.3359834173,532043.3359834173,512185.4589636265,522114.3974735219,3076501,051910.KS,LG화학
2024-06-24,524850.0297844381,527891.3945290338,516305.7837712892,522098.58915016154,2377602,051910.KS,LG화학
2024-06-25,526548.1560454703,536616.1095924585,509361.01160239184,522988.56059742515,4774324,051910.KS,LG화학
2024-06-26,539721.8708274616,558308.1368004517,539721.8708274616,549015.0038139566,2922964,051910.KS,LG화학
2024-06-27,540764.5983950972,560719.9827807918,533634.677618417,547177.3301996044,2909717,051910.KS,LG화학
2024-06-28,545750.6464854578,557809.9680821439,543691.8644355404,550750.9162588421,1752427,051910.KS,LG화학
2024-07-01,555181.3720285221,561638.8442352955,539649.0376398424,550643.9409375689,2509635,051910.KS,LG화학
2024-07-02,549676.9375955842,549676.9375955842,526420.5690076109,538048.7533015975,3754934,051910.KS,LG화학
2024-07-03,544965.3085766633,556266.0224036106,544965.3085766633,550615.665490137,5336551,051910.KS,LG화학
2024-07-04,553460.5276423332,566425.7696174448,551917.221316193,559171.4954668189,2740792,051910.KS,LG화학
2024-07-05,561644.4761210959,574950.5869796124,561644.4761210959,568297.5315503542,3547034,051910.KS,LG화학
2024-07-08,564576.9866785503,564576.9866785503,551914.2681224002,558245.6274004752,4230711,051910.KS,LG화학
2024-07-09,566034.4572331739,582339.1948040706,566034.4572331739,574186.8260186223,1920015,051910.KS,LG화학
2024-07-10,564367.3542284657,564367.3542284657,552383.5081429762,558375.431185721,3139914,051910.KS,LG화학
