Date,Open,High,Low,Close,Volume,Symbol,Name
2024-01-19,181878.17095084043,183901.7593963399,179854.58250534095,181878.17095084043,1475271,035420.KS,NAVER
2024-01-22,181353.1638980809,183707.36726643116,179224.9624780081,181466.16487221964,3603564,035420.KS,NAVER
2024-01-23,182360.22413921604,188490.71074906678,179324.42736187784,183907.5690554723,2563107,035420.KS,NAVER
2024-01-24,186622.01407969,192580.9003399463,186622.01407969,189601.45720981815,4877698,035420.KS,NAVER
2024-01-25,189733.5196767314,191540.76012125323,186075.92291326725,188808.34151726024,5044590,035420.KS,NAVER
2024-01-26,190176.29407601518,190176.29407601518,185860.91687884362,188018.6054774294,3349319,035420.KS,NAVER
2024-01-29,192297.46013311032,199753.43638547324,188348.64882781438,194051.0426066438,3886487,035420.KS,NAVER
2024-01-30,194839.3297243296,200889.80506634072,193363.19156254036,197126.49831444054,3633849,035420.KS,NAVER
2024-01-31,196907.82207422165,199611.08435482424,191137.2051024641,195374.14472864417,3561857,035420.KS,NAVER
2024-02-01,197281.6003344143,200663.96001514528,194519.79176605347,197591.8758905994,1760753,035420.KS,NAVER
2024-02-02,199632.21039935242,199634.30669698343,192084.3341103576,195859.3204036705,1385265,035420.KS,NAVER
2024-02-05,192314.00949211937,199857.4705926963,188408.3290140068,194132.89980335155,5085146,035420.KS,NAVER
2024-02-06,190492.5323939365,199846.31360945475,190492.5323939365,195169.42300169563,4573596,035420.KS,NAVER
2024-02-07,192248.5519172636,192248.5519172636,183348.91145351314,187798.73168538837,1854667,035420.KS,NAVER
2024-02-08,186533.11902251924,186533.11902251924,176294.64783164457,181413.88342708192,3002653,035420.KS,NAVER
2024-02-09,184092.7471844348,184606.93181409576,174321.97835220626,179464.455083151,4800964,035420.KS,NAVER
2024-02-12,177837.1283678296,177837.1283678296,174000.55884947252,175918.84360865108,4484458,035420.KS,NAVER
2024-02-13,175422.3633565662,182380.74576835276,171844.14138684855,177112.44357760067,1647960,035420.KS,NAVER
2024-02-14,177716.2592141669,177791.78940120406,170177.31568386077,173984.55254253242,4643664,035420.KS,NAVER
2024-02-15,173684.92203913696,173684.92203913696,164629.40649723104,169157.16426818402,3106811,035420.KS,NAVER
2024-02-16,171013.0070559869,177387.47822720633,171013.0070559869,174200.24264159662,4872668,035420.KS,NAVER
2024-02-19,174103.5877096125,178056.52289116505,168944.95118157068,173500.73703636788,5050797,035420.KS,NAVER
2024-02-20,176131.4130268492,179024.77378725683,168618.84875387923,173821.81127056803,4967065,035420.KS,NAVER
2024-02-21,173516.28771381086,173516.28771381086,164395.06422531256,168955.6759695617,2174540,035420.KS,NAVER
