Date,Open,High,Low,Close,Volume,Symbol,Name
2024-01-19,858869.140601191,868424.9749271607,849313.3062752213,858869.140601191,1475271,207940.KS,삼성바이오로직스
2024-01-22,856389.9406298265,867507.0120914804,846340.1005905938,856923.5563410372,3603564,207940.KS,삼성바이오로직스
2024-01-23,861145.5028796312,890095.0229817043,846809.7958755342,868452.4094286192,2563107,207940.KS,삼성바이오로직스
2024-01-24,881270.6220429806,909409.8071608576,881270.6220429806,895340.214601919,4877698,207940.KS,삼성바이오로직스
2024-01-25,895963.8429178983,904498.033905918,878691.8582015398,891594.9460537289,5044590,207940.KS,삼성바이오로직스
2024-01-26,898054.7220256273,898054.7220256273,877676.5519278726,887865.63697675,3349319,207940.KS,삼성바이오로직스
2024-01-29,908071.3395174654,943280.1162647348,889424.1750202345,916352.1456424847,3886487,207940.KS,삼성바이오로직스
2024-01-30,920074.612587112,948646.3017021646,913103.9601564406,930875.1309293025,3633849,207940.KS,삼성바이오로직스
2024-01-31,929842.493128269,942607.8983422255,902592.3574283026,922600.1278852641,3561857,207940.KS,삼성바이오로직스
2024-02-01,931607.5571347342,947579.8111826305,918565.683339697,933072.7472611638,1760753,207940.KS,삼성바이오로직스
2024-02-02,942707.6602191642,942717.5594024218,907064.9110766887,924891.2352395552,1385265,207940.KS,삼성바이오로직스
2024-02-05,908149.4892683415,943771.3889099549,889705.9981216987,916738.6935158268,5085146,207940.KS,삼성바이오로직스
2024-02-06,899548.0696380334,943718.7031557584,899548.0696380334,921633.386396896,4573596,207940.KS,삼성바이오로직스
2024-02-07,907840.3840537447,907840.3840537447,865814.3040860343,886827.3440698895,1854667,207940.KS,삼성바이오로직스
2024-02-08,880850.8398285632,880850.8398285632,832502.5036494328,856676.671738998,3002653,207940.KS,삼성바이오로직스
2024-02-09,869326.8617042754,871754.9557887856,823187.1199965297,847471.0378926576,4800964,207940.KS,삼성바이오로직스
2024-02-12,839786.439514751,839786.439514751,821669.3056780647,830727.8725964079,4484458,207940.KS,삼성바이오로직스
2024-02-13,828383.3825171181,861242.410572777,811486.2232156738,836364.3168942254,1647960,207940.KS,삼성바이오로직스
2024-02-14,839215.6685113438,839572.3388390192,803615.1018404537,821593.7203397364,4643664,207940.KS,삼성바이오로직스
2024-02-15,820178.7985181469,820178.7985181469,777416.64179248,798797.7201553135,3106811,207940.KS,삼성바이오로직스
2024-02-16,807561.422208827,837663.0916284743,807561.422208827,822612.2569186507,4872668,207940.KS,삼성바이오로직스
2024-02-19,822155.8308509479,840822.4692082795,797795.6028018616,819309.0360050705,5050797,207940.KS,삼성바이오로직스
2024-02-20,831731.6726267879,845394.7651064906,796255.6746710963,820825.2198887934,4967065,207940.KS,삼성바이오로직스
2024-02-21,819382.4697596624,819382.4697596624,776310.0255084205,797846.2476340415,2174540,207940.KS,삼성바이오로직스
2024-02-22,786927.0027517003,804568.7004432849,774548.2925108635,789558.4964770742,3723788,207940.KS,삼성바이오로직스
2024-02-23,793786.5175606724,809409.4247248489,774000.3216520434,791704.8731884462,2451789,207940.KS,삼성바이오로직스
2024-02-26,783372.1283587205,783372.1283587205,764379.4339212066,773875.7811399635,4394532,207940.KS,삼성바이오로직스
2024-02-27,789720.1055339114,795993.7247059749,764161.4572518918,780077.5909789334,4570218,207940.KS,삼성바이오로직스
2024-02-28,787319.172688546,787319.172688546,754874.2955690754,771096.7341288107,2782979,207940.KS,삼성바이오로직스
2024-02-29,772377.4342943566,776709.3887295842,757258.2123489109,766983.8005392475,1138492,207940.KS,삼성바이오로직스
2024-03-01,777168.6355569639,777168.6355569639,739105.9803517783,758137.3079543711,1996506,207940.KS,삼성바이오로직스
2024-03-04,776590.5790204596,796613.4220516855,776590.5790204596,786602.0005360725,1148706,207940.KS,삼성바이오로직스
2024-03-05,773398.4066663934,800167.5186470657,773398.4066663934,786782.9626567296,2897137,207940.KS,삼성바이오로직스
2024-03-06,792171.575673668,792171.575673668,748893.575069715,770532.5753716915,2641402,207940.KS,삼성바이오로직스
2024-03-07,767702.6772181134,799484.9120799113,767702.6772181134,783593.7946490124,3717790,207940.KS,삼성바이오로직스
2024-03-08,785692.8320922329,785692.8320922329,744012.5306662833,764852.681379258,5327368,207940.KS,삼성바이오로직스
2024-03-11,764740.1083834363,778374.720195763,758485.4904714082,768430.1053335856,2062405,207940.KS,삼성바이오로직스
